DATE,COPOP,
2001/1/1,4425.687,5.39325
2001/2/1,4431.08025,
2001/3/1,4436.4735,
2001/4/1,4441.86675,
2001/5/1,4447.26,
2001/6/1,4452.65325,
2001/7/1,4458.0465,
2001/8/1,4463.43975,
2001/9/1,4468.833,
2001/10/1,4474.22625,
2001/11/1,4479.6195,
2001/12/1,4485.01275,
2002/1/1,4490.406,3.193833333
2002/2/1,4493.599833,
2002/3/1,4496.793667,
2002/4/1,4499.9875,
2002/5/1,4503.181333,
2002/6/1,4506.375167,
2002/7/1,4509.569,
2002/8/1,4512.762833,
2002/9/1,4515.956667,
2002/10/1,4519.1505,
2002/11/1,4522.344333,
2002/12/1,4525.538167,
2003/1/1,4528.732,
2003/2/1,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2004/1/1,4575.013,
2005/1/1,4631.888,
2006/1/1,4720.423,
2007/1/1,4803.868,
2008/1/1,4889.73,
2009/1/1,4972.195,
2010/1/1,5047.539,
2011/1/1,5121.9,
2012/1/1,5193.66,
2013/1/1,5270.774,
2014/1/1,5352.637,
2015/1/1,5454.328,
2016/1/1,5543.844,
2017/1/1,5617.421,
2018/1/1,5697.155,
2019/1/1,5758.486,
2020/1/1,5784.865,
2021/1/1,5811.297,
2022/1/1,5839.926,
