DATE,COWTOT,,,
2001/1/1,90421516,-743360,-247786.6667,-247786.6667
2001/2/1,90173729.33,,,-247786.6667
2001/3/1,89925942.67,,,-247786.6667
2001/4/1,89678156,-1209328,-403109.3333,-403109.3333
2001/5/1,89275046.67,,,-403109.3333
2001/6/1,88871937.33,,,-403109.3333
2001/7/1,88468828,-517780,-172593.3333,-172593.3333
2001/8/1,88296234.67,,,-172593.3333
2001/9/1,88123641.33,,,-172593.3333
2001/10/1,87951048,-522196,-174065.3333,-174065.3333
2001/11/1,87776982.67,,,-174065.3333
2001/12/1,87602917.33,,,-174065.3333
2002/1/1,87428852,632576,210858.6667,210858.6667
2002/2/1,87639710.67,,,210858.6667
2002/3/1,87850569.33,,,210858.6667
2002/4/1,88061428,62968,20989.33333,20989.33333
2002/5/1,88082417.33,,,20989.33333
2002/6/1,88103406.67,,,20989.33333
2002/7/1,88124396,511872,170624,170624
2002/8/1,88295020,,,170624
2002/9/1,88465644,,,170624
2002/10/1,88636268,-1212836,-404278.6667,-404278.6667
2002/11/1,88231989.33,,,-404278.6667
2002/12/1,87827710.67,,,-404278.6667
2003/1/1,87423432,1057424,352474.6667,352474.6667
2003/2/1,87775906.67,,,352474.6667
2003/3/1,88128381.33,,,352474.6667
2003/4/1,88480856,2417692,805897.3333,805897.3333
2003/5/1,89286753.33,,,805897.3333
2003/6/1,90092650.67,,,805897.3333
2003/7/1,90898548,-692116,-230705.3333,-230705.3333
2003/8/1,90667842.67,,,-230705.3333
2003/9/1,90437137.33,,,-230705.3333
2003/10/1,90206432,816512,272170.6667,272170.6667
2003/11/1,90478602.67,,,272170.6667
2003/12/1,90750773.33,,,272170.6667
2004/1/1,91022944,2136156,712052,712052
2004/2/1,91734996,,,712052
2004/3/1,92447048,,,712052
2004/4/1,93159100,996484,332161.3333,332161.3333
2004/5/1,93491261.33,,,332161.3333
2004/6/1,93823422.67,,,332161.3333
2004/7/1,94155584,1708168,569389.3333,569389.3333
2004/8/1,94724973.33,,,569389.3333
2004/9/1,95294362.67,,,569389.3333
2004/10/1,95863752,850180,283393.3333,283393.3333
2004/11/1,96147145.33,,,283393.3333
2004/12/1,96430538.67,,,283393.3333
2005/1/1,96713932,1195512,398504,398504
2005/2/1,97112436,,,398504
2005/3/1,97510940,,,398504
2005/4/1,97909444,2159524,719841.3333,719841.3333
2005/5/1,98629285.33,,,719841.3333
2005/6/1,99349126.67,,,719841.3333
2005/7/1,100068968,335988,111996,111996
2005/8/1,100180964,,,111996
2005/9/1,100292960,,,111996
2005/10/1,100404956,3973460,1324486.667,1324486.667
2005/11/1,101729442.7,,,1324486.667
2005/12/1,103053929.3,,,1324486.667
2006/1/1,104378416,-255608,-85202.66667,-85202.66667
2006/2/1,104293213.3,,,-85202.66667
2006/3/1,104208010.7,,,-85202.66667
2006/4/1,104122808,2354456,784818.6667,784818.6667
2006/5/1,104907626.7,,,784818.6667
2006/6/1,105692445.3,,,784818.6667
2006/7/1,106477264,1140960,380320,380320
2006/8/1,106857584,,,380320
2006/9/1,107237904,,,380320
2006/10/1,107618224,2346672,782224,782224
2006/11/1,108400448,,,782224
2006/12/1,109182672,,,782224
2007/1/1,109964896,1899144,633048,633048
2007/2/1,110597944,,,633048
2007/3/1,111230992,,,633048
2007/4/1,111864040,575848,191949.3333,191949.3333
2007/5/1,112055989.3,,,191949.3333
2007/6/1,112247938.7,,,191949.3333
2007/7/1,112439888,3393776,1131258.667,1131258.667
2007/8/1,113571146.7,,,1131258.667
2007/9/1,114702405.3,,,1131258.667
2007/10/1,115833664,485724,161908,161908
2007/11/1,115995572,,,161908
2007/12/1,116157480,,,161908
2008/1/1,116319388,625680,208560,208560
2008/2/1,116527948,,,208560
2008/3/1,116736508,,,208560
2008/4/1,116945068,644032,214677.3333,214677.3333
2008/5/1,117159745.3,,,214677.3333
2008/6/1,117374422.7,,,214677.3333
2008/7/1,117589100,-1603572,-534524,-534524
2008/8/1,117054576,,,-534524
2008/9/1,116520052,,,-534524
2008/10/1,115985528,-3121040,-1040346.667,-1040346.667
2008/11/1,114945181.3,,,-1040346.667
2008/12/1,113904834.7,,,-1040346.667
2009/1/1,112864488,-1162908,-387636,-387636
2009/2/1,112476852,,,-387636
2009/3/1,112089216,,,-387636
2009/4/1,111701580,246480,82160,82160
2009/5/1,111783740,,,82160
2009/6/1,111865900,,,82160
2009/7/1,111948060,447940,149313.3333,149313.3333
2009/8/1,112097373.3,,,149313.3333
2009/9/1,112246686.7,,,149313.3333
2009/10/1,112396000,-744912,-248304,-248304
2009/11/1,112147696,,,-248304
2009/12/1,111899392,,,-248304
2010/1/1,111651088,935568,311856,311856
2010/2/1,111962944,,,311856
2010/3/1,112274800,,,311856
2010/4/1,112586656,1503152,501050.6667,501050.6667
2010/5/1,113087706.7,,,501050.6667
2010/6/1,113588757.3,,,501050.6667
2010/7/1,114089808,2263720,754573.3333,754573.3333
2010/8/1,114844381.3,,,754573.3333
2010/9/1,115598954.7,,,754573.3333
2010/10/1,116353528,758608,252869.3333,252869.3333
2010/11/1,116606397.3,,,252869.3333
2010/12/1,116859266.7,,,252869.3333
2011/1/1,117112136,791592,263864,263864
2011/2/1,117376000,,,263864
2011/3/1,117639864,,,263864
2011/4/1,117903728,1825204,608401.3333,608401.3333
2011/5/1,118512129.3,,,608401.3333
2011/6/1,119120530.7,,,608401.3333
2011/7/1,119728932,-817732,-272577.3333,-272577.3333
2011/8/1,119456354.7,,,-272577.3333
2011/9/1,119183777.3,,,-272577.3333
2011/10/1,118911200,3296908,1098969.333,1098969.333
2011/11/1,120010169.3,,,1098969.333
2011/12/1,121109138.7,,,1098969.333
2012/1/1,122208108,1473816,491272,491272
2012/2/1,122699380,,,491272
2012/3/1,123190652,,,491272
2012/4/1,123681924,828084,276028,276028
2012/5/1,123957952,,,276028
2012/6/1,124233980,,,276028
2012/7/1,124510008,4878816,1626272,1626272
2012/8/1,126136280,,,1626272
2012/9/1,127762552,,,1626272
2012/10/1,129388824,-1933228,-644409.3333,-644409.3333
2012/11/1,128744414.7,,,-644409.3333
2012/12/1,128100005.3,,,-644409.3333
2013/1/1,127455596,1524424,508141.3333,508141.3333
2013/2/1,127963737.3,,,508141.3333
2013/3/1,128471878.7,,,508141.3333
2013/4/1,128980020,877920,292640,292640
2013/5/1,129272660,,,292640
2013/6/1,129565300,,,292640
2013/7/1,129857940,1934364,644788,644788
2013/8/1,130502728,,,644788
2013/9/1,131147516,,,644788
2013/10/1,131792304,3664604,1221534.667,1221534.667
2013/11/1,133013838.7,,,1221534.667
2013/12/1,134235373.3,,,1221534.667
2014/1/1,135456908,1686976,562325.3333,562325.3333
2014/2/1,136019233.3,,,562325.3333
2014/3/1,136581558.7,,,562325.3333
2014/4/1,137143884,1832872,610957.3333,610957.3333
2014/5/1,137754841.3,,,610957.3333
2014/6/1,138365798.7,,,610957.3333
2014/7/1,138976756,3949116,1316372,1316372
2014/8/1,140293128,,,1316372
2014/9/1,141609500,,,1316372
2014/10/1,142925872,1783744,594581.3333,594581.3333
2014/11/1,143520453.3,,,594581.3333
2014/12/1,144115034.7,,,594581.3333
2015/1/1,144709616,1635396,545132,545132
2015/2/1,145254748,,,545132
2015/3/1,145799880,,,545132
2015/4/1,146345012,690128,230042.6667,230042.6667
2015/5/1,146575054.7,,,230042.6667
2015/6/1,146805097.3,,,230042.6667
2015/7/1,147035140,1187944,395981.3333,395981.3333
2015/8/1,147431121.3,,,395981.3333
2015/9/1,147827102.7,,,395981.3333
2015/10/1,148223084,477364,159121.3333,159121.3333
2015/11/1,148382205.3,,,159121.3333
2015/12/1,148541326.7,,,159121.3333
2016/1/1,148700448,889896,296632,296632
2016/2/1,148997080,,,296632
2016/3/1,149293712,,,296632
2016/4/1,149590344,2452784,817594.6667,817594.6667
2016/5/1,150407938.7,,,817594.6667
2016/6/1,151225533.3,,,817594.6667
2016/7/1,152043128,2282992,760997.3333,760997.3333
2016/8/1,152804125.3,,,760997.3333
2016/9/1,153565122.7,,,760997.3333
2016/10/1,154326120,2708812,902937.3333,902937.3333
2016/11/1,155229057.3,,,902937.3333
2016/12/1,156131994.7,,,902937.3333
2017/1/1,157034932,2272916,757638.6667,757638.6667
2017/2/1,157792570.7,,,757638.6667
2017/3/1,158550209.3,,,757638.6667
2017/4/1,159307848,2788052,929350.6667,929350.6667
2017/5/1,160237198.7,,,929350.6667
2017/6/1,161166549.3,,,929350.6667
2017/7/1,162095900,3188360,1062786.667,1062786.667
2017/8/1,163158686.7,,,1062786.667
2017/9/1,164221473.3,,,1062786.667
2017/10/1,165284260,1740880,580293.3333,580293.3333
2017/11/1,165864553.3,,,580293.3333
2017/12/1,166444846.7,,,580293.3333
2018/1/1,167025140,2354460,784820,784820
2018/2/1,167809960,,,784820
2018/3/1,168594780,,,784820
2018/4/1,169379600,2875072,958357.3333,958357.3333
2018/5/1,170337957.3,,,958357.3333
2018/6/1,171296314.7,,,958357.3333
2018/7/1,172254672,2318040,772680,772680
2018/8/1,173027352,,,772680
2018/9/1,173800032,,,772680
2018/10/1,174572712,5196608,1732202.667,1732202.667
2018/11/1,176304914.7,,,1732202.667
2018/12/1,178037117.3,,,1732202.667
2019/1/1,179769320,956216,318738.6667,318738.6667
2019/2/1,180088058.7,,,318738.6667
2019/3/1,180406797.3,,,318738.6667
2019/4/1,180725536,4521496,1507165.333,1507165.333
2019/5/1,182232701.3,,,1507165.333
2019/6/1,183739866.7,,,1507165.333
2019/7/1,185247032,844752,281584,281584
2019/8/1,185528616,,,281584
2019/9/1,185810200,,,281584
2019/10/1,186091784,5288788,1762929.333,1762929.333
2019/11/1,187854713.3,,,1762929.333
2019/12/1,189617642.7,,,1762929.333
2020/1/1,191380572,-11968640,-3989546.667,-3989546.667
2020/2/1,187391025.3,,,-3989546.667
2020/3/1,183401478.7,,,-3989546.667
2020/4/1,179411932,7726664,2575554.667,2575554.667
2020/5/1,181987486.7,,,2575554.667
