Colorado Natural Gas Industrial Consumption
https://www.eia.gov/dnav/ng/hist/n3035co2m.htm
15:30:01 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Colorado Natural Gas Industrial Consumption  Million Cubic Feet
Jan 2023,10469
Dec 2022,10226
Nov 2022,9361
Oct 2022,7222
Sep 2022,5379
Aug 2022,5674
Jul 2022,5703
Jun 2022,5709
May 2022,6884
Apr 2022,7285
Mar 2022,8558
Feb 2022,9038
Jan 2022,10249
Dec 2021,9006
Nov 2021,8146
Oct 2021,7116
Sep 2021,5832
Aug 2021,5546
Jul 2021,5374
Jun 2021,5411
May 2021,6070
Apr 2021,7480
Mar 2021,8823
Feb 2021,8699
Jan 2021,9198
Dec 2020,9138
Nov 2020,7884
Oct 2020,7160
Sep 2020,5815
Aug 2020,5081
Jul 2020,4919
Jun 2020,5369
May 2020,5763
Apr 2020,6885
Mar 2020,8088
Feb 2020,8889
Jan 2020,9139
Dec 2019,9245
Nov 2019,8486
Oct 2019,7606
Sep 2019,5517
Aug 2019,5535
Jul 2019,5483
Jun 2019,6001
May 2019,7405
Apr 2019,7445
Mar 2019,9148
Feb 2019,9591
Jan 2019,10231
Dec 2018,9741
Nov 2018,8783
Oct 2018,7373
Sep 2018,5716
Aug 2018,5490
Jul 2018,5403
Jun 2018,5342
May 2018,6145
Apr 2018,7493
Mar 2018,8202
Feb 2018,9224
Jan 2018,9743
Dec 2017,9222
Nov 2017,7821
Oct 2017,6932
Sep 2017,5097
Aug 2017,5426
Jul 2017,5288
Jun 2017,5397
May 2017,6689
Apr 2017,7110
Mar 2017,7799
Feb 2017,7890
Jan 2017,10242
Dec 2016,9453
Nov 2016,7221
Oct 2016,6109
Sep 2016,5165
Aug 2016,5245
Jul 2016,5117
Jun 2016,4982
May 2016,6141
Apr 2016,6624
Mar 2016,7543
Feb 2016,7705
Jan 2016,9126
Dec 2015,8939
Nov 2015,7646
Oct 2015,5828
Sep 2015,4792
Aug 2015,4996
Jul 2015,5000
Jun 2015,4872
May 2015,5976
Apr 2015,6060
Mar 2015,7135
Feb 2015,8041
Jan 2015,8894
Dec 2014,8641
Nov 2014,7615
Oct 2014,5971
Sep 2014,4931
Aug 2014,4772
Jul 2014,4796
Jun 2014,5228
May 2014,5525
Apr 2014,6322
Mar 2014,7575
Feb 2014,8062
Jan 2014,8885
Dec 2013,9588
Nov 2013,7236
Oct 2013,6509
Sep 2013,4503
Aug 2013,4697
Jul 2013,4627
Jun 2013,4572
May 2013,5609
Apr 2013,6893
Mar 2013,7610
Feb 2013,7719
Jan 2013,8717
Dec 2012,8396
Nov 2012,6852
Oct 2012,6250
Sep 2012,4764
Aug 2012,4769
Jul 2012,4479
Jun 2012,4439
May 2012,5074
Apr 2012,5446
Mar 2012,6389
Feb 2012,8097
Jan 2012,8071
Dec 2011,8634
Nov 2011,7287
Oct 2011,5864
Sep 2011,4510
Aug 2011,4435
Jul 2011,4509
Jun 2011,4445
May 2011,5753
Apr 2011,5916
Mar 2011,6809
Feb 2011,7806
Jan 2011,8439
Dec 2010,11649
Nov 2010,10236
Oct 2010,8515
Sep 2010,7084
Aug 2010,8080
Jul 2010,8523
Jun 2010,8331
May 2010,7798
Apr 2010,8020
Mar 2010,10879
Feb 2010,11352
Jan 2010,13828
Dec 2009,13803
Nov 2009,9086
Oct 2009,8861
Sep 2009,6461
Aug 2009,8037
Jul 2009,8238
Jun 2009,7284
May 2009,7988
Apr 2009,9837
Mar 2009,11526
Feb 2009,10718
Jan 2009,11742
Dec 2008,12275
Nov 2008,10733
Oct 2008,10463
Sep 2008,7807
Aug 2008,8071
Jul 2008,8828
Jun 2008,7576
May 2008,7945
Apr 2008,9712
Mar 2008,10988
Feb 2008,11230
Jan 2008,14079
Dec 2007,12438
Nov 2007,9292
Oct 2007,10644
Sep 2007,8494
Aug 2007,10258
Jul 2007,10890
Jun 2007,8474
May 2007,7705
Apr 2007,6784
Mar 2007,8124
Feb 2007,10830
Jan 2007,13296
Dec 2006,12528
Nov 2006,10235
Oct 2006,9349
Sep 2006,6614
Aug 2006,8265
Jul 2006,8716
Jun 2006,7200
May 2006,7333
Apr 2006,7510
Mar 2006,11156
Feb 2006,10839
Jan 2006,11511
Dec 2005,12931
Nov 2005,10899
Oct 2005,10541
Sep 2005,9285
Aug 2005,9727
Jul 2005,10543
Jun 2005,8899
May 2005,9087
Apr 2005,10395
Mar 2005,11364
Feb 2005,10602
Jan 2005,12086
Dec 2004,14305
Nov 2004,8231
Oct 2004,8441
Sep 2004,7683
Aug 2004,8200
Jul 2004,8460
Jun 2004,7987
May 2004,8728
Apr 2004,9635
Mar 2004,8694
Feb 2004,10376
Jan 2004,11434
Dec 2003,10976
Nov 2003,9958
Oct 2003,7354
Sep 2003,7330
Aug 2003,9023
Jul 2003,9508
Jun 2003,7436
May 2003,10331
Apr 2003,7462
Mar 2003,9920
Feb 2003,11414
Jan 2003,11626
Dec 2002,11415
Nov 2002,9933
Oct 2002,12317
Sep 2002,9597
Aug 2002,9205
Jul 2002,12914
Jun 2002,10392
May 2002,9828
Apr 2002,11039
Mar 2002,12835
Feb 2002,10606
Jan 2002,10256
Dec 2001,10843
Nov 2001,11955
Oct 2001,8139
Sep 2001,8555
Aug 2001,9888
Jul 2001,9063
Jun 2001,9633
May 2001,10985
Apr 2001,14667
Mar 2001,12731
Feb 2001,13981
Jan 2001,17268
