Colorado Natural Gas Residential Consumption
https://www.eia.gov/dnav/ng/hist/n3010co2m.htm
15:27:50 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Colorado Natural Gas Residential Consumption  Million Cubic Feet
Jan 2023,26955
Dec 2022,25045
Nov 2022,19871
Oct 2022,8085
Sep 2022,3598
Aug 2022,3051
Jul 2022,2860
Jun 2022,3325
May 2022,5727
Apr 2022,12732
Mar 2022,18032
Feb 2022,23381
Jan 2022,25705
Dec 2021,21181
Nov 2021,13320
Oct 2021,7726
Sep 2021,3296
Aug 2021,2913
Jul 2021,2690
Jun 2021,3353
May 2021,6951
Apr 2021,11249
Mar 2021,17040
Feb 2021,22390
Jan 2021,23180
Dec 2020,23476
Nov 2020,16027
Oct 2020,10224
Sep 2020,4503
Aug 2020,2875
Jul 2020,2935
Jun 2020,3490
May 2020,5287
Apr 2020,12212
Mar 2020,12580
Feb 2020,20894
Jan 2020,22083
Dec 2019,22258
Nov 2019,17685
Oct 2019,10443
Sep 2019,3101
Aug 2019,2749
Jul 2019,1028
Jun 2019,3957
May 2019,7697
Apr 2019,9680
Mar 2019,19642
Feb 2019,20865
Jan 2019,23587
Dec 2018,22828
Nov 2018,15984
Oct 2018,8617
Sep 2018,3134
Aug 2018,2667
Jul 2018,2507
Jun 2018,2630
May 2018,5539
Apr 2018,9740
Mar 2018,13764
Feb 2018,19524
Jan 2018,21216
Dec 2017,21055
Nov 2017,12514
Oct 2017,8691
Sep 2017,3557
Aug 2017,2841
Jul 2017,2657
Jun 2017,2955
May 2017,6264
Apr 2017,8839
Mar 2017,11823
Feb 2017,14666
Jan 2017,22722
Dec 2016,22110
Nov 2016,11559
Oct 2016,6060
Sep 2016,3217
Aug 2016,2736
Jul 2016,2560
Jun 2016,2932
May 2016,6529
Apr 2016,10419
Mar 2016,14373
Feb 2016,17247
Jan 2016,22222
Dec 2015,22545
Nov 2015,16187
Oct 2015,5800
Sep 2015,2924
Aug 2015,2403
Jul 2015,2633
Jun 2015,3115
May 2015,7343
Apr 2015,8503
Mar 2015,12871
Feb 2015,16449
Jan 2015,21591
Dec 2014,20604
Nov 2014,18632
Oct 2014,6921
Sep 2014,3533
Aug 2014,2195
Jul 2014,3220
Jun 2014,3526
May 2014,6319
Apr 2014,9485
Mar 2014,15296
Feb 2014,19396
Jan 2014,22977
Dec 2013,23504
Nov 2013,14493
Oct 2013,8689
Sep 2013,3121
Aug 2013,2595
Jul 2013,2610
Jun 2013,3562
May 2013,6550
Apr 2013,12103
Mar 2013,15454
Feb 2013,19426
Jan 2013,22830
Dec 2012,20049
Nov 2012,12657
Oct 2012,7954
Sep 2012,3180
Aug 2012,2405
Jul 2012,2396
Jun 2012,2451
May 2012,3745
Apr 2012,5903
Mar 2012,11633
Feb 2012,22424
Jan 2012,20898
Dec 2011,22219
Nov 2011,15031
Oct 2011,7243
Sep 2011,3167
Aug 2011,2512
Jul 2011,2523
Jun 2011,2862
May 2011,6305
Apr 2011,9995
Mar 2011,13420
Feb 2011,21127
Jan 2011,23711
Dec 2010,18981
Nov 2010,16284
Oct 2010,6978
Sep 2010,3242
Aug 2010,3081
Jul 2010,2842
Jun 2010,3152
May 2010,6962
Apr 2010,10823
Mar 2010,15526
Feb 2010,20633
Jan 2010,22720
Dec 2009,25244
Nov 2009,14873
Oct 2009,11191
Sep 2009,3776
Aug 2009,2869
Jul 2009,2865
Jun 2009,3359
May 2009,5609
Apr 2009,11695
Mar 2009,11497
Feb 2009,16068
Jan 2009,19946
Dec 2008,23941
Nov 2008,13048
Oct 2008,7982
Sep 2008,3580
Aug 2008,3302
Jul 2008,2824
Jun 2008,3008
May 2008,5715
Apr 2008,10157
Mar 2008,15898
Feb 2008,19931
Jan 2008,24561
Dec 2007,23712
Nov 2007,13654
Oct 2007,6802
Sep 2007,3375
Aug 2007,2608
Jul 2007,2782
Jun 2007,3038
May 2007,5509
Apr 2007,10369
Mar 2007,12351
Feb 2007,19019
Jan 2007,27751
Dec 2006,19212
Nov 2006,14259
Oct 2006,8577
Sep 2006,4258
Aug 2006,2712
Jul 2006,2847
Jun 2006,2727
May 2006,4581
Apr 2006,8243
Mar 2006,15870
Feb 2006,18603
Jan 2006,17381
Dec 2005,22692
Nov 2005,13372
Oct 2005,7672
Sep 2005,3173
Aug 2005,2867
Jul 2005,2847
Jun 2005,3179
May 2005,5798
Apr 2005,10372
Mar 2005,15332
Feb 2005,16463
Jan 2005,20489
Dec 2004,19344
Nov 2004,15431
Oct 2004,7553
Sep 2004,3971
Aug 2004,2893
Jul 2004,2837
Jun 2004,3512
May 2004,4949
Apr 2004,8788
Mar 2004,11395
Feb 2004,19514
Jan 2004,20385
Dec 2003,20836
Nov 2003,16094
Oct 2003,5811
Sep 2003,4560
Aug 2003,2707
Jul 2003,2769
Jun 2003,3831
May 2003,5675
Apr 2003,8735
Mar 2003,14786
Feb 2003,20165
Jan 2003,18246
Dec 2002,19641
Nov 2002,15622
Oct 2002,9908
Sep 2002,3581
Aug 2002,2567
Jul 2002,2617
Jun 2002,2696
May 2002,5232
Apr 2002,8254
Mar 2002,17430
Feb 2002,20177
Jan 2002,21103
Dec 2001,17087
Nov 2001,8518
Oct 2001,4054
Sep 2001,2801
Aug 2001,2513
Jul 2001,3058
Jun 2001,4431
May 2001,8218
Apr 2001,12549
Mar 2001,17880
Feb 2001,20453
Jan 2001,21953
Dec 2000,20693
Nov 2000,10855
Oct 2000,5520
Sep 2000,2706
Aug 2000,2553
Jul 2000,3005
Jun 2000,4081
May 2000,6487
Apr 2000,11175
Mar 2000,14321
Feb 2000,16123
Jan 2000,18846
Dec 1999,14763
Nov 1999,8173
Oct 1999,5565
Sep 1999,2978
Aug 1999,2750
Jul 1999,3086
Jun 1999,4680
May 1999,9579
Apr 1999,10614
Mar 1999,13479
Feb 1999,15178
Jan 1999,20903
Dec 1998,14812
Nov 1998,8806
Oct 1998,4366
Sep 1998,2806
Aug 1998,2541
Jul 1998,3454
Jun 1998,1664
May 1998,7886
Apr 1998,11619
Mar 1998,16272
Feb 1998,16905
Jan 1998,19710
Dec 1997,17463
Nov 1997,10147
Oct 1997,4290
Sep 1997,2714
Aug 1997,2590
Jul 1997,2965
Jun 1997,4130
May 1997,8492
Apr 1997,10975
Mar 1997,15768
Feb 1997,17485
Jan 1997,18564
Dec 1996,15814
Nov 1996,9571
Oct 1996,4886
Sep 1996,2773
Aug 1996,2505
Jul 1996,2869
Jun 1996,4316
May 1996,6901
Apr 1996,11526
Mar 1996,14685
Feb 1996,17480
Jan 1996,17597
Dec 1995,12262
Nov 1995,8830
Oct 1995,5456
Sep 1995,2773
Aug 1995,2681
Jul 1995,3590
Jun 1995,6098
May 1995,9143
Apr 1995,9879
Mar 1995,12862
Feb 1995,14457
Jan 1995,16254
Dec 1994,14571
Nov 1994,8388
Oct 1994,4013
Sep 1994,2440
Aug 1994,2378
Jul 1994,2546
Jun 1994,3474
May 1994,6819
Apr 1994,9732
Mar 1994,13500
Feb 1994,15391
Jan 1994,16252
Dec 1993,14527
Nov 1993,8984
Oct 1993,4451
Sep 1993,3027
Aug 1993,2391
Jul 1993,2851
Jun 1993,3996
May 1993,6505
Apr 1993,9897
Mar 1993,15025
Feb 1993,15981
Jan 1993,18551
Dec 1992,15715
Nov 1992,7607
Oct 1992,3547
Sep 1992,2644
Aug 1992,2438
Jul 1992,2809
Jun 1992,3963
May 1992,5005
Apr 1992,8789
Mar 1992,11499
Feb 1992,14400
Jan 1992,16198
Dec 1991,14007
Nov 1991,8076
Oct 1991,3541
Sep 1991,2367
Aug 1991,2283
Jul 1991,2569
Jun 1991,3600
May 1991,7108
Apr 1991,9187
Mar 1991,11686
Feb 1991,15114
Jan 1991,17902
Dec 1990,10956
Nov 1990,7142
Oct 1990,3450
Sep 1990,2331
Aug 1990,2357
Jul 1990,2478
Jun 1990,4191
May 1990,7248
Apr 1990,9873
Mar 1990,12631
Feb 1990,13559
Jan 1990,15699
Dec 1989,11066
Nov 1989,6975
Oct 1989,3750
Sep 1989,2601
Aug 1989,2279
Jul 1989,2778
Jun 1989,3947
May 1989,5694
Apr 1989,8580
Mar 1989,13652
Feb 1989,15278
Jan 1989,14966
