Colorado Natural Gas Total Consumption
https://www.eia.gov/dnav/ng/hist/na1490_sco_2a.htm
21:09:30 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,Colorado Natural Gas Total Consumption  Million Cubic Feet
2021,497187
2020,517554
2019,513974
2018,485735
2017,438137
2016,441018
2015,466906
2014,478987
2013,467798
2012,443750
2011,466680
2010,501350
2009,523726
2008,504783
2007,504775
2006,450832
2005,470321
2004,440378
2003,436253
2002,459397
2001,463738
2000,367920
1999,333085
1998,330259
1997,314486
