Colorado Natural Gas Underground Storage Volume
https://www.eia.gov/dnav/ng/hist/n5030co2m.htm
21:05:41 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Colorado Natural Gas Underground Storage Volume  Million Cubic Feet
Jan 2023,101503
Dec 2022,112423
Nov 2022,119948
Oct 2022,119135
Sep 2022,113540
Aug 2022,104357
Jul 2022,99010
Jun 2022,97548
May 2022,93094
Apr 2022,87523
Mar 2022,90288
Feb 2022,90690
Jan 2022,99522
Dec 2021,111691
Nov 2021,118244
Oct 2021,118475
Sep 2021,115828
Aug 2021,109097
Jul 2021,105653
Jun 2021,101662
May 2021,95955
Apr 2021,88935
Mar 2021,87884
Feb 2021,89265
Jan 2021,100318
Dec 2020,111887
Nov 2020,120894
Oct 2020,116628
Sep 2020,119863
Aug 2020,113504
Jul 2020,108047
Jun 2020,102837
May 2020,95544
Apr 2020,89602
Mar 2020,87368
Feb 2020,89625
Jan 2020,99121
Dec 2019,108111
Nov 2019,113774
Oct 2019,113225
Sep 2019,113269
Aug 2019,106952
Jul 2019,97999
Jun 2019,92726
May 2019,83441
Apr 2019,80768
Mar 2019,80286
Feb 2019,81348
Jan 2019,88708
Dec 2018,99119
Nov 2018,108139
Oct 2018,109611
Sep 2018,106771
Aug 2018,102058
Jul 2018,96061
Jun 2018,93723
May 2018,87569
Apr 2018,81103
Mar 2018,81230
Feb 2018,85602
Jan 2018,94954
Dec 2017,104657
Nov 2017,117643
Oct 2017,113328
Sep 2017,112746
Aug 2017,106734
Jul 2017,103811
Jun 2017,98567
May 2017,92907
Apr 2017,88388
Mar 2017,87014
Feb 2017,88214
Jan 2017,93072
Dec 2016,104055
Nov 2016,115581
Oct 2016,114129
Sep 2016,106806
Aug 2016,101695
Jul 2016,97950
Jun 2016,93038
May 2016,87526
Apr 2016,82028
Mar 2016,83362
Feb 2016,87050
Jan 2016,89461
Dec 2015,100007
Nov 2015,109428
Oct 2015,111229
Sep 2015,107087
Aug 2015,101837
Jul 2015,96656
Jun 2015,91608
May 2015,84790
Apr 2015,79745
Mar 2015,81633
Feb 2015,82697
Jan 2015,88283
Dec 2014,94226
Nov 2014,103862
Oct 2014,106839
Sep 2014,102897
Aug 2014,96720
Jul 2014,90751
Jun 2014,83696
May 2014,76585
Apr 2014,72737
Mar 2014,72357
Feb 2014,76850
Jan 2014,85272
Dec 2013,93523
Nov 2013,102907
Oct 2013,103316
Sep 2013,100693
Aug 2013,94797
Jul 2013,87199
Jun 2013,80390
May 2013,74046
Apr 2013,70182
Mar 2013,71903
Feb 2013,75457
Jan 2013,83564
Dec 2012,90138
Nov 2012,98133
Oct 2012,99335
Sep 2012,96798
Aug 2012,90459
Jul 2012,81873
Jun 2012,75937
May 2012,69664
Apr 2012,68444
Mar 2012,71145
Feb 2012,71929
Jan 2012,79422
Dec 2011,84435
Nov 2011,90370
Oct 2011,89147
Sep 2011,87828
Aug 2011,82152
Jul 2011,75965
Jun 2011,70298
May 2011,64458
Apr 2011,63112
Mar 2011,67743
Feb 2011,68920
Jan 2011,74037
Dec 2010,80805
Nov 2010,86068
Oct 2010,89079
Sep 2010,87405
Aug 2010,84064
Jul 2010,77415
Jun 2010,69973
