date,allGradesGasPrice,regularGasPrice,midgradeGasPrice,premiumGasPrice
01/04/2010,2.52,2.48,2.58,2.70
04/23/2018,2.72,2.61,2.89,3.18
06/29/2015,2.72,2.64,2.84,3.03
05/16/2005,2.20,2.16,2.27,2.37
07/22/2013,3.58,3.53,3.66,3.79
11/25/2002,1.47,1.43,1.52,1.64
12/04/2000,1.58,1.53,1.65,1.75
11/08/2010,2.74,2.69,2.80,2.91
05/28/2001,1.80,1.76,1.88,1.98
11/19/2018,2.76,2.65,2.93,3.22
09/15/2014,3.64,3.58,3.75,3.90
01/07/2008,2.91,2.86,2.98,3.09
01/28/2002,1.15,1.11,1.22,1.33
05/31/2010,2.70,2.66,2.77,2.88
06/28/2010,2.73,2.68,2.79,2.90
10/16/2017,2.53,2.42,2.70,2.98
07/14/2014,3.66,3.60,3.76,3.91
09/10/2007,2.94,2.90,3.02,3.12
04/28/2003,1.55,1.51,1.61,1.71
11/05/2001,1.28,1.23,1.35,1.45
12/13/2010,2.78,2.73,2.85,2.96
05/13/2013,3.70,3.65,3.78,3.90
03/02/2015,2.25,2.19,2.36,2.51
09/08/2014,3.68,3.61,3.78,3.93
05/25/2009,2.43,2.38,2.50,2.61
10/08/2012,3.76,3.71,3.83,3.94
06/19/2017,2.38,2.28,2.55,2.82
12/17/2007,2.91,2.86,2.98,3.09
05/26/2008,3.91,3.86,3.98,4.09
07/11/2016,2.31,2.21,2.46,2.72
07/02/2001,1.65,1.61,1.73,1.83
10/09/2006,2.47,2.43,2.54,2.64
09/25/2000,1.63,1.59,1.70,1.80
01/10/2005,1.77,1.73,1.84,1.94
02/22/2010,2.59,2.54,2.66,2.76
11/18/2013,3.21,3.15,3.30,3.44
01/23/2017,2.32,2.22,2.48,2.75
02/25/2019,2.23,2.12,2.39,2.69
02/05/2001,1.52,1.48,1.59,1.70
03/19/2007,2.56,2.52,2.63,2.73
09/03/2007,2.91,2.87,2.98,3.09
09/03/2018,2.93,2.82,3.09,3.38
08/14/2000,1.57,1.52,1.66,1.76
09/22/2003,1.67,1.63,1.74,1.83
10/08/2018,3.04,2.93,3.20,3.49
01/10/2011,2.91,2.87,2.98,3.09
09/07/2015,2.78,2.69,2.92,3.14
12/08/2003,1.44,1.40,1.51,1.61
02/12/2007,2.17,2.13,2.24,2.34
01/07/2002,1.11,1.07,1.18,1.29
10/05/2015,2.46,2.37,2.61,2.82
08/20/2012,3.56,3.51,3.63,3.74
10/11/2010,2.76,2.72,2.83,2.94
11/07/2016,2.23,2.12,2.39,2.65
09/23/2002,1.46,1.41,1.51,1.63
09/25/2006,2.70,2.65,2.77,2.86
03/03/2003,1.65,1.61,1.71,1.82
09/17/2012,3.76,3.72,3.83,3.94
04/03/2006,2.56,2.52,2.63,2.73
12/18/2000,1.51,1.47,1.59,1.68
04/22/2013,3.57,3.52,3.64,3.77
03/09/2015,2.29,2.23,2.40,2.55
06/18/2007,3.21,3.16,3.28,3.39
