Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado
https://www.eia.gov/dnav/ng/hist/n3020co2m.htm
15:28:47 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado  Million Cubic Feet
Jan 2023,11551
Dec 2022,10333
Nov 2022,7921
Oct 2022,3800
Sep 2022,1965
Aug 2022,1837
Jul 2022,1743
Jun 2022,1900
May 2022,2955
Apr 2022,5326
Mar 2022,7802
Feb 2022,9324
Jan 2022,10073
Dec 2021,8788
Nov 2021,5685
Oct 2021,3522
Sep 2021,1858
Aug 2021,1645
Jul 2021,1767
Jun 2021,1850
May 2021,3466
Apr 2021,5037
Mar 2021,7332
Feb 2021,8918
Jan 2021,9302
Dec 2020,9304
Nov 2020,6386
Oct 2020,4266
Sep 2020,2108
Aug 2020,1558
Jul 2020,1480
Jun 2020,1587
May 2020,2467
Apr 2020,4649
Mar 2020,5536
Feb 2020,8709
Jan 2020,9233
Dec 2019,9209
Nov 2019,7215
Oct 2019,4258
Sep 2019,1703
Aug 2019,1654
Jul 2019,864
Jun 2019,2190
May 2019,3632
Apr 2019,4440
Mar 2019,8339
Feb 2019,8613
Jan 2019,9638
Dec 2018,9266
Nov 2018,6526
Oct 2018,3901
Sep 2018,1648
Aug 2018,1620
Jul 2018,1496
Jun 2018,1656
May 2018,2609
Apr 2018,4338
Mar 2018,5940
Feb 2018,8092
Jan 2018,8797
Dec 2017,8628
Nov 2017,5386
Oct 2017,3781
Sep 2017,1872
Aug 2017,1715
Jul 2017,1640
Jun 2017,1741
May 2017,3069
Apr 2017,4042
Mar 2017,5202
Feb 2017,6211
Jan 2017,9448
Dec 2016,9068
Nov 2016,5113
Oct 2016,2823
Sep 2016,1812
Aug 2016,1494
Jul 2016,1637
Jun 2016,1833
May 2016,3120
Apr 2016,4606
Mar 2016,6191
Feb 2016,7280
Jan 2016,9288
Dec 2015,9183
Nov 2015,6634
Oct 2015,2794
Sep 2015,1646
Aug 2015,1408
Jul 2015,1521
Jun 2015,1953
May 2015,3507
Apr 2015,3869
Mar 2015,5455
Feb 2015,7064
Jan 2015,8934
Dec 2014,8844
Nov 2014,7587
Oct 2014,3118
Sep 2014,1862
Aug 2014,1361
Jul 2014,1767
Jun 2014,1937
May 2014,2932
Apr 2014,4234
Mar 2014,6357
Feb 2014,8402
Jan 2014,9605
