year,month,department,buildingName,energyUsage,energyType
2014,July,Department of Agriculture,Interlocken,5,natural gas
2014,August,Department of Agriculture,Interlocken,50,natural gas
2014,September,Department of Agriculture,Interlocken,67,natural gas
2014,October,Department of Agriculture,Interlocken,200,natural gas
2014,November,Department of Agriculture,Interlocken,250,natural gas
2014,December,Department of Agriculture,Interlocken,228,natural gas
2015,January,Department of Agriculture,Interlocken,164,natural gas
2015,February,Department of Agriculture,Interlocken,138,natural gas
2015,March,Department of Agriculture,Interlocken,95,natural gas
2015,April,Department of Agriculture,Interlocken,85,natural gas
2015,May,Department of Agriculture,Interlocken,28,natural gas
2015,June,Department of Agriculture,Interlocken,23,natural gas
2014,July,Department of Agriculture,Moorish,30,natural gas
2014,August,Department of Agriculture,Moorish,54,natural gas
2014,September,Department of Agriculture,Moorish,78,natural gas
2014,October,Department of Agriculture,Moorish,169,natural gas
2014,November,Department of Agriculture,Moorish,404,natural gas
2014,December,Department of Agriculture,Moorish,488,natural gas
2015,January,Department of Agriculture,Moorish,272,natural gas
2015,February,Department of Agriculture,Moorish,425,natural gas
2015,March,Department of Agriculture,Moorish,179,natural gas
2015,April,Department of Agriculture,Moorish,203,natural gas
2015,May,Department of Agriculture,Moorish,120,natural gas
2015,June,Department of Agriculture,Moorish,28,natural gas
2014,July,Department of Agriculture,MS,0,natural gas
2014,August,Department of Agriculture,MS,1,natural gas
2014,September,Department of Agriculture,MS,1,natural gas
2014,October,Department of Agriculture,MS,10,natural gas
2014,November,Department of Agriculture,MS,33,natural gas
2014,December,Department of Agriculture,MS,41,natural gas
2015,January,Department of Agriculture,MS,21,natural gas
2015,February,Department of Agriculture,MS,30,natural gas
2015,March,Department of Agriculture,MS,8,natural gas
2015,April,Department of Agriculture,MS,8,natural gas
2015,May,Department of Agriculture,MS,4,natural gas
2015,June,Department of Agriculture,MS,1,natural gas
2014,July,Department of Agriculture,Palisade Insectary,28,natural gas
2014,August,Department of Agriculture,Palisade Insectary,51,natural gas
2014,September,Department of Agriculture,Palisade Insectary,65,natural gas
2014,October,Department of Agriculture,Palisade Insectary,103,natural gas
2014,November,Department of Agriculture,Palisade Insectary,203,natural gas
2014,December,Department of Agriculture,Palisade Insectary,263,natural gas
2015,January,Department of Agriculture,Palisade Insectary,202,natural gas
2015,February,Department of Agriculture,Palisade Insectary,205,natural gas
2015,March,Department of Agriculture,Palisade Insectary,107,natural gas
2015,April,Department of Agriculture,Palisade Insectary,108,natural gas
2015,May,Department of Agriculture,Palisade Insectary,73,natural gas
2015,June,Department of Agriculture,Palisade Insectary,35,natural gas
2014,July,Department of Agriculture,State Fair NG,121,natural gas
2014,August,Department of Agriculture,State Fair NG,298,natural gas
2014,September,Department of Agriculture,State Fair NG,207,natural gas
2014,October,Department of Agriculture,State Fair NG,976,natural gas
2014,November,Department of Agriculture,State Fair NG,2479,natural gas
2014,December,Department of Agriculture,State Fair NG,3568,natural gas
2015,January,Department of Agriculture,State Fair NG,2162,natural gas
2015,February,Department of Agriculture,State Fair NG,1960,natural gas
2015,March,Department of Agriculture,State Fair NG,565,natural gas
2015,April,Department of Agriculture,State Fair NG,484,natural gas
2015,May,Department of Agriculture,State Fair NG,281,natural gas
2015,June,Department of Agriculture,State Fair NG,124,natural gas
2015,July,Department of Agriculture,Interlocken,30,natural gas
2015,August,Department of Agriculture,Interlocken,27,natural gas
2015,September,Department of Agriculture,Interlocken,59,natural gas
2015,October,Department of Agriculture,Interlocken,142,natural gas
2015,November,Department of Agriculture,Interlocken,257,natural gas
2015,December,Department of Agriculture,Interlocken,235,natural gas
2016,January,Department of Agriculture,Interlocken,167,natural gas
2016,February,Department of Agriculture,Interlocken,135,natural gas
2016,March,Department of Agriculture,Interlocken,86,natural gas
2016,April,Department of Agriculture,Interlocken,85,natural gas
2016,May,Department of Agriculture,Interlocken,25,natural gas
2016,June,Department of Agriculture,Interlocken,9,natural gas
2015,July,Department of Agriculture,Moorish,26,natural gas
2015,August,Department of Agriculture,Moorish,35,natural gas
2015,September,Department of Agriculture,Moorish,76,natural gas
2015,October,Department of Agriculture,Moorish,207,natural gas
2015,November,Department of Agriculture,Moorish,452,natural gas
2015,December,Department of Agriculture,Moorish,516,natural gas
2016,January,Department of Agriculture,Moorish,349,natural gas
2016,February,Department of Agriculture,Moorish,244,natural gas
2016,March,Department of Agriculture,Moorish,239,natural gas
2016,April,Department of Agriculture,Moorish,227,natural gas
2016,May,Department of Agriculture,Moorish,72,natural gas
2016,June,Department of Agriculture,Moorish,27,natural gas
2015,July,Department of Agriculture,MS,1,natural gas
2015,August,Department of Agriculture,MS,0,natural gas
2015,September,Department of Agriculture,MS,0,natural gas
2015,October,Department of Agriculture,MS,6,natural gas
2015,November,Department of Agriculture,MS,32,natural gas
2015,December,Department of Agriculture,MS,46,natural gas
2016,January,Department of Agriculture,MS,29,natural gas
2016,February,Department of Agriculture,MS,14,natural gas
2016,March,Department of Agriculture,MS,14,natural gas
2016,April,Department of Agriculture,MS,6,natural gas
2016,May,Department of Agriculture,MS,2,natural gas
2016,June,Department of Agriculture,MS,7,natural gas
2015,July,Department of Agriculture,Palisade Insectary,35,natural gas
2015,August,Department of Agriculture,Palisade Insectary,33,natural gas
2015,September,Department of Agriculture,Palisade Insectary,52,natural gas
2015,October,Department of Agriculture,Palisade Insectary,74,natural gas
2015,November,Department of Agriculture,Palisade Insectary,173,natural gas
2015,December,Department of Agriculture,Palisade Insectary,273,natural gas
2016,January,Department of Agriculture,Palisade Insectary,226,natural gas
2016,February,Department of Agriculture,Palisade Insectary,166,natural gas
2016,March,Department of Agriculture,Palisade Insectary,133,natural gas
2016,April,Department of Agriculture,Palisade Insectary,83,natural gas
2016,May,Department of Agriculture,Palisade Insectary,61,natural gas
2016,June,Department of Agriculture,Palisade Insectary,28,natural gas
2015,July,Department of Agriculture,State Fair NG,125,natural gas
2015,August,Department of Agriculture,State Fair NG,274,natural gas
2015,September,Department of Agriculture,State Fair NG,160,natural gas
2015,October,Department of Agriculture,State Fair NG,770,natural gas
2015,November,Department of Agriculture,State Fair NG,2258,natural gas
2015,December,Department of Agriculture,State Fair NG,3798,natural gas
2016,January,Department of Agriculture,State Fair NG,2444,natural gas
2016,February,Department of Agriculture,State Fair NG,1677,natural gas
2016,March,Department of Agriculture,State Fair NG,1031,natural gas
2016,April,Department of Agriculture,State Fair NG,559,natural gas
2016,May,Department of Agriculture,State Fair NG,138,natural gas
2016,June,Department of Agriculture,State Fair NG,101,natural gas
2016,July,Department of Agriculture,Interlocken,14,natural gas
2016,August,Department of Agriculture,Interlocken,32,natural gas
2016,September,Department of Agriculture,Interlocken,54,natural gas
2016,October,Department of Agriculture,Interlocken,74,natural gas
2016,November,Department of Agriculture,Interlocken,272,natural gas
2016,December,Department of Agriculture,Interlocken,260,natural gas
2017,January,Department of Agriculture,Interlocken,178,natural gas
2017,February,Department of Agriculture,Interlocken,104,natural gas
2017,March,Department of Agriculture,Interlocken,51,natural gas
2017,April,Department of Agriculture,Interlocken,75,natural gas
2017,May,Department of Agriculture,Interlocken,24,natural gas
2017,June,Department of Agriculture,Interlocken,11,natural gas
2016,July,Department of Agriculture,Moorish,26,natural gas
2016,August,Department of Agriculture,Moorish,39,natural gas
2016,September,Department of Agriculture,Moorish,85,natural gas
2016,October,Department of Agriculture,Moorish,128,natural gas
2016,November,Department of Agriculture,Moorish,379,natural gas
2016,December,Department of Agriculture,Moorish,502,natural gas
2017,January,Department of Agriculture,Moorish,317,natural gas
2017,February,Department of Agriculture,Moorish,266,natural gas
2017,March,Department of Agriculture,Moorish,194,natural gas
2017,April,Department of Agriculture,Moorish,125,natural gas
2017,May,Department of Agriculture,Moorish,83,natural gas
2017,June,Department of Agriculture,Moorish,36,natural gas
2016,July,Department of Agriculture,MS,0,natural gas
2016,August,Department of Agriculture,MS,0,natural gas
2016,September,Department of Agriculture,MS,2,natural gas
2016,October,Department of Agriculture,MS,4,natural gas
2016,November,Department of Agriculture,MS,28,natural gas
2016,December,Department of Agriculture,MS,42,natural gas
2017,January,Department of Agriculture,MS,25,natural gas
2017,February,Department of Agriculture,MS,21,natural gas
2017,March,Department of Agriculture,MS,8,natural gas
2017,April,Department of Agriculture,MS,7,natural gas
2017,May,Department of Agriculture,MS,4,natural gas
2017,June,Department of Agriculture,MS,1,natural gas
2016,July,Department of Agriculture,Palisade Insectary,19,natural gas
2016,August,Department of Agriculture,Palisade Insectary,29,natural gas
2016,September,Department of Agriculture,Palisade Insectary,47,natural gas
2016,October,Department of Agriculture,Palisade Insectary,65,natural gas
2016,November,Department of Agriculture,Palisade Insectary,125,natural gas
2016,December,Department of Agriculture,Palisade Insectary,227,natural gas
2017,January,Department of Agriculture,Palisade Insectary,201,natural gas
2017,February,Department of Agriculture,Palisade Insectary,134,natural gas
2017,March,Department of Agriculture,Palisade Insectary,70,natural gas
2017,April,Department of Agriculture,Palisade Insectary,70,natural gas
2017,May,Department of Agriculture,Palisade Insectary,63,natural gas
2017,June,Department of Agriculture,Palisade Insectary,27,natural gas
2016,July,Department of Agriculture,State Fair NG,83,natural gas
2016,August,Department of Agriculture,State Fair NG,319,natural gas
2016,September,Department of Agriculture,State Fair NG,303,natural gas
2016,October,Department of Agriculture,State Fair NG,513,natural gas
2016,November,Department of Agriculture,State Fair NG,2283,natural gas
2016,December,Department of Agriculture,State Fair NG,3170,natural gas
2017,January,Department of Agriculture,State Fair NG,2686,natural gas
2017,February,Department of Agriculture,State Fair NG,1417,natural gas
2017,March,Department of Agriculture,State Fair NG,626,natural gas
2017,April,Department of Agriculture,State Fair NG,429,natural gas
2017,May,Department of Agriculture,State Fair NG,170,natural gas
2017,June,Department of Agriculture,State Fair NG,88,natural gas
2014,July,Department of Human Services,Adams Youth Services Ctr,34,natural gas
2014,August,Department of Human Services,Adams Youth Services Ctr,32,natural gas
2014,September,Department of Human Services,Adams Youth Services Ctr,35,natural gas
2014,October,Department of Human Services,Adams Youth Services Ctr,54,natural gas
2014,November,Department of Human Services,Adams Youth Services Ctr,152,natural gas
2014,December,Department of Human Services,Adams Youth Services Ctr,225,natural gas
2015,January,Department of Human Services,Adams Youth Services Ctr,313,natural gas
2015,February,Department of Human Services,Adams Youth Services Ctr,178,natural gas
2015,March,Department of Human Services,Adams Youth Services Ctr,172,natural gas
2015,April,Department of Human Services,Adams Youth Services Ctr,87,natural gas
2015,May,Department of Human Services,Adams Youth Services Ctr,79,natural gas
2015,June,Department of Human Services,Adams Youth Services Ctr,44,natural gas
2014,July,Department of Human Services,Vacant,16,natural gas
2014,August,Department of Human Services,Vacant,19,natural gas
2014,September,Department of Human Services,Vacant,26,natural gas
2014,October,Department of Human Services,Vacant,38,natural gas
2014,November,Department of Human Services,Vacant,68,natural gas
2014,December,Department of Human Services,Vacant,75,natural gas
2015,January,Department of Human Services,Vacant,62,natural gas
2015,February,Department of Human Services,Vacant,71,natural gas
2015,March,Department of Human Services,Vacant,35,natural gas
2015,April,Department of Human Services,Vacant,44,natural gas
2015,May,Department of Human Services,Vacant,31,natural gas
2015,June,Department of Human Services,Vacant,14,natural gas
2014,July,Department of Human Services,OITS - Trails,1,natural gas
2014,August,Department of Human Services,OITS - Trails,1,natural gas
2014,September,Department of Human Services,OITS - Trails,4,natural gas
2014,October,Department of Human Services,OITS - Trails,6,natural gas
2014,November,Department of Human Services,OITS - Trails,59,natural gas
2014,December,Department of Human Services,OITS - Trails,75,natural gas
2015,January,Department of Human Services,OITS - Trails,48,natural gas
2015,February,Department of Human Services,OITS - Trails,60,natural gas
2015,March,Department of Human Services,OITS - Trails,17,natural gas
2015,April,Department of Human Services,OITS - Trails,13,natural gas
2015,May,Department of Human Services,OITS - Trails,10,natural gas
2015,June,Department of Human Services,OITS - Trails,1,natural gas
2014,July,Department of Human Services,Main Hospital D Bldg,5,natural gas
2014,August,Department of Human Services,Main Hospital D Bldg,6,natural gas
2014,September,Department of Human Services,Main Hospital D Bldg,6,natural gas
2014,October,Department of Human Services,Main Hospital D Bldg,5,natural gas
2014,November,Department of Human Services,Main Hospital D Bldg,6,natural gas
2014,December,Department of Human Services,Main Hospital D Bldg,6,natural gas
2015,January,Department of Human Services,Main Hospital D Bldg,5,natural gas
2015,February,Department of Human Services,Main Hospital D Bldg,11,natural gas
2015,March,Department of Human Services,Main Hospital D Bldg,11,natural gas
2015,April,Department of Human Services,Main Hospital D Bldg,12,natural gas
2015,May,Department of Human Services,Main Hospital D Bldg,13,natural gas
2015,June,Department of Human Services,Main Hospital D Bldg,13,natural gas
2014,July,Department of Human Services,H Building,20,natural gas
2014,August,Department of Human Services,H Building,19,natural gas
2014,September,Department of Human Services,H Building,23,natural gas
2014,October,Department of Human Services,H Building,26,natural gas
2014,November,Department of Human Services,H Building,36,natural gas
2014,December,Department of Human Services,H Building,38,natural gas
2015,January,Department of Human Services,H Building,19,natural gas
2015,February,Department of Human Services,H Building,21,natural gas
2015,March,Department of Human Services,H Building,23,natural gas
2015,April,Department of Human Services,H Building,27,natural gas
2015,May,Department of Human Services,H Building,30,natural gas
2015,June,Department of Human Services,H Building,22,natural gas
2014,July,Department of Human Services,J Heat Plant,1,natural gas
2014,August,Department of Human Services,J Heat Plant,2,natural gas
2014,September,Department of Human Services,J Heat Plant,1,natural gas
2014,October,Department of Human Services,J Heat Plant,1,natural gas
2014,November,Department of Human Services,J Heat Plant,2,natural gas
2014,December,Department of Human Services,J Heat Plant,2,natural gas
2015,January,Department of Human Services,J Heat Plant,1,natural gas
2015,February,Department of Human Services,J Heat Plant,2,natural gas
2015,March,Department of Human Services,J Heat Plant,1,natural gas
2015,April,Department of Human Services,J Heat Plant,1,natural gas
2015,May,Department of Human Services,J Heat Plant,1,natural gas
2015,June,Department of Human Services,J Heat Plant,1,natural gas
2014,July,Department of Human Services,Historical Society,0,natural gas
2014,August,Department of Human Services,Historical Society,1,natural gas
2014,September,Department of Human Services,Historical Society,6,natural gas
2014,October,Department of Human Services,Historical Society,20,natural gas
2014,November,Department of Human Services,Historical Society,62,natural gas
2014,December,Department of Human Services,Historical Society,53,natural gas
