"Series Key",SEDS.WYTCB.CO.A,"Series Key",SEDS.SOTCB.CO.A,"Series Key",SEDS.HYTCB.CO.A,"Series Key",SEDS.GETCB.CO.A,"Series Key",SEDS.WWTCB.CO.A,"Series Key",SEDS.BDTCB.CO.A,"Series Key",SEDS.BFTCB.CO.A,"Series Key",SEDS.EMTCB.CO.A
"Series Name","SEDS.WYTCB.CO.A, annual","Series Name","SEDS.SOTCB.CO.A, annual","Series Name","SEDS.HYTCB.CO.A, annual","Series Name","SEDS.GETCB.CO.A, annual","Series Name","SEDS.WWTCB.CO.A, annual","Series Name","SEDS.BDTCB.CO.A, annual","Series Name","SEDS.BFTCB.CO.A, annual","Series Name","SEDS.EMTCB.CO.A, annual"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2021,"Start Date",2021,"Start Date",2021
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2020,117437,2020,19632,2020,14638,2020,759,2020,15418,2021,823,2021,27198,2021,18934
2019,96640,2019,16780,2019,16127,2019,759,2019,18063,2020,1343,2020,26424,2020,17999
2018,88720,2018,15336,2018,16618,2018,759,2018,15831,2019,1532,2019,29740,2019,20928
2017,85816,2017,13973,2017,17479,2017,759,2017,15524,2018,865,2018,28769,2018,20216
2016,86977,2016,9509,2016,17565,2016,759,2016,15331,2017,715,2017,28547,2017,20094
2015,69662,2015,6270,2015,15098,2015,759,2015,14936,2016,1013,2016,28785,2016,20163
2014,70076,2014,6045,2014,16831,2014,759,2014,14228,2015,287,2015,27006,2015,18939
2013,68731,2013,5199,2013,11572,2013,759,2013,13384,2014,632,2014,23249,2014,15162
2012,56798,2012,3988,2012,14247,2012,759,2012,10433,2013,301,2013,23287,2013,15240
2011,50526,2011,2945,2011,20235,2011,741,2011,12226,2012,450,2012,22333,2012,14203
2010,33676,2010,1864,2010,15398,2010,721,2010,12612,2011,238,2011,21243,2011,13221
2009,30879,2009,1179,2009,18405,2009,697,2009,11824,2010,70,2010,18181,2010,10403
2008,31738,2008,839,2008,20096,2008,702,2008,9702,2009,86,2009,15378,2009,8421
2007,12765,2007,309,2007,17095,2007,621,2007,8702,2008,82,2008,14306,2008,7378
2006,8585,2006,233,2006,17767,2006,603,2006,7925,2007,95,2007,11126,2007,5798
2005,7762,2005,206,2005,14152,2005,605,2005,8725,2006,70,2006,7117,2006,3402
2004,2205,2004,194,2004,11966,2004,562,2004,7338,2005,24,2005,4109,2005,3801
2003,1489,2003,199,2003,12780,2003,538,2003,6643,2004,7,2004,6836,2004,6743
2002,1414,2002,205,2002,12299,2002,582,2002,6380,2003,4,2003,7145,2003,7043
