"Series Key",ELEC.GEN.DPV-CO-99.M
"Series Name","ELEC.GEN.DPV-CO-99.M, monthly"
Units,"thousand megawatthours"
Frequency,M
"Start Date",202301
"End Date",201401
Source,"EIA, U.S. Energy Information Administration"

202301,95.06064
202212,88.94071
202211,96.75793
202210,115.07975
202209,116.65368
202208,129.34937
202207,133.29486
202206,132.38812
202205,131.45626
202204,122.96498
202203,109.38773
202202,82.28883
202201,79.77616
202112,77.60478
202111,83.75826
202110,95.94856
202109,108.12052
202108,115.4661
202107,116.41397
202106,116.29504
202105,85.7844
202104,79.12586
202103,71.28042
202102,53.8303
202101,52.53457
202012,44.95341
202011,51.11164
202010,59.11408
202009,63.49891
202008,67.57213
202007,70.41621
202006,70.79048
202005,70.88696
202004,61.90497
202003,57.26516
202002,41.60987
202001,41.56177
201912,37.33642
201911,40.45314
201910,50.09264
201909,58.64183
201908,62.6457
201907,66.14767
201906,65.40398
201905,63.10695
201904,58.27519
201903,54.10679
201902,39.17743
201901,38.04794
201812,36.88686
201811,39.29956
201810,45.91608
201809,52.84047
201808,56.44668
201807,59.93521
201806,60.25128
201805,58.93232
201804,55.19666
201803,52.43105
201802,36.54724
201801,35.47633
201712,32.91355
201711,36.02481
201710,43.61203
201709,47.10817
201708,51.7895
201707,53.90629
201706,54.99764
201705,53.72698
201704,48.88082
201703,44.49963
201702,32.88798
201701,30.28768
201612,28.18136
201611,31.16495
201610,38.47065
201609,41.69845
201608,44.32362
201607,47.49447
201606,47.62269
201605,45.96589
201604,40.70127
201603,37.48843
201602,29.97579
201601,27.92437
201512,24.29356
201511,27.54283
201510,32.98504
201509,37.18323
201508,39.71294
201507,40.95303
201506,40.41958
201505,36.34607
201504,35.10212
201503,32.82803
201502,22.08888
201501,21.7675
201412,24.91148
201411,26.7849
201410,30.9365
201409,32.27238
201408,33.43859
201407,34.67082
201406,34.22075
201405,33.75448
201404,31.01082
201403,28.83688
201402,21.41152
201401,21.04832
