"Series Key",SEDS.BFFDB.CO.A,"Series Key",SEDS.WWPRB.CO.A,"Series Key",SEDS.NCPRB.CO.A,"Series Key",SEDS.CLPRB.CO.A,"Series Key",SEDS.PAPRB.CO.A,"Series Key",SEDS.NUETB.CO.A,"Series Key",SEDS.NGMPB.CO.A
"Series Name","SEDS.BFFDB.CO.A, annual","Series Name","SEDS.WWPRB.CO.A, annual","Series Name","SEDS.NCPRB.CO.A, annual","Series Name","SEDS.CLPRB.CO.A, annual","Series Name","SEDS.PAPRB.CO.A, annual","Series Name","SEDS.NUETB.CO.A, annual","Series Name","SEDS.NGMPB.CO.A, annual"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2020,"Start Date",2021,"Start Date",2020
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2020,18248,2020,15418,2020,152466,2020,210494,2020,955132,2021,0,2020,2423537
2019,18725,2019,18063,2019,130306,2019,270466,2019,1096198,2020,0,2019,2394039
2018,19735,2018,15831,2018,121433,2018,293149,2018,966448,2019,0,2018,2217310
2017,19828,2017,15524,2017,118027,2017,320001,2017,744780,2018,0,2017,2028824
2016,19461,2016,15331,2016,114808,2016,270920,2016,663969,2017,0,2016,1981005
2015,19861,2015,14936,2015,91789,2015,403605,2015,698737,2016,0,2015,1965188
2014,18997,2014,14228,2014,93710,2014,528242,2014,554637,2015,0,2014,1848761
2013,19707,2013,13384,2013,86261,2013,529096,2013,384540,2014,0,2013,1799439
2012,19504,2012,10433,2012,75792,2012,629645,2012,288173,2013,0,2012,1895207
2011,19657,2011,12226,2011,74447,2011,586847,2011,229199,2012,0,2011,1822749
2010,19362,2010,12612,2010,51659,2010,551825,2010,191794,2011,0,2010,1730439
2009,17164,2009,11824,2009,51160,2009,614581,2009,176285,2010,0,2009,1620932
2008,17014,2008,9702,2008,53375,2008,714673,2008,173687,2009,0,2008,1493824
2007,14655,2007,8702,2007,30790,2007,815511,2007,151861,2008,0,2007,1336499
2006,10346,2006,7925,2006,27188,2006,805711,2006,142106,2007,0,2006,1295490
2005,1534,2005,8725,2005,22724,2005,857038,2005,134717,2006,0,2005,1219801
2004,206,2004,7338,2004,14926,2004,889060,2004,130686,2005,0,2004,1149273
2003,232,2003,6643,2003,15007,2003,801108,2003,124746,2004,0,2003,1078307
2002,202,2002,6380,2002,14501,2002,788220,2002,119028,2003,0,2002,995996
2001,151,2001,6837,2001,16738,2001,741186,2001,95816,2002,0,2001,873450
2000,141,2000,11300,2000,15636,2000,648023,2000,107190,2001,0,2000,801801
1999,120,1999,11148,1999,16771,1999,662659,1999,107120,2000,0,1999,768679
1998,132,1998,10577,1998,15552,1998,651411,1998,129711,1999,0,1998,743318
1997,114,1997,11798,1997,21392,1997,598037,1997,148579,1998,0,1997,689043
1996,66,1996,10947,1996,19459,1996,547155,1996,144727,1997,0,1996,622078
1995,165,1995,10748,1995,22602,1995,565841,1995,162267,1996,0,1995,574949
1994,175,1994,10627,1994,16542,1994,554832,1994,165955,1995,0,1994,488620
1993,189,1993,11118,1993,20312,1993,475039,1993,170508,1994,0,1993,437912
1992,174,1992,11507,1992,16097,1992,414384,1992,172765,1993,0,1992,361441
1991,195,1991,12395,1991,19301,1991,384207,1991,182016,1992,0,1991,321863
1990,167,1990,10907,1990,15328,1990,404530,1990,176627,1991,0,1990,267816
1989,199,1989,11254,1989,18823,1989,365336,1989,177799,1990,0,1989,242577
