Series ID,Year,Period,Label,Value
LASST080000000000004,2001,M01,2001 Jan,64025
LASST080000000000004,2001,M02,2001 Feb,66313
LASST080000000000004,2001,M03,2001 Mar,69636
LASST080000000000004,2001,M04,2001 Apr,73447
LASST080000000000004,2001,M05,2001 May,77552
LASST080000000000004,2001,M06,2001 Jun,82269
LASST080000000000004,2001,M07,2001 Jul,88176
LASST080000000000004,2001,M08,2001 Aug,95975
LASST080000000000004,2001,M09,2001 Sep,105537
LASST080000000000004,2001,M10,2001 Oct,115893
LASST080000000000004,2001,M11,2001 Nov,125847
LASST080000000000004,2001,M12,2001 Dec,133983
LASST080000000000004,2002,M01,2002 Jan,139337
LASST080000000000004,2002,M02,2002 Feb,141758
LASST080000000000004,2002,M03,2002 Mar,141736
LASST080000000000004,2002,M04,2002 Apr,140422
LASST080000000000004,2002,M05,2002 May,138954
LASST080000000000004,2002,M06,2002 Jun,137819
LASST080000000000004,2002,M07,2002 Jul,137189
LASST080000000000004,2002,M08,2002 Aug,137075
LASST080000000000004,2002,M09,2002 Sep,137536
LASST080000000000004,2002,M10,2002 Oct,138634
LASST080000000000004,2002,M11,2002 Nov,140272
LASST080000000000004,2002,M12,2002 Dec,142405
LASST080000000000004,2003,M01,2003 Jan,145106
LASST080000000000004,2003,M02,2003 Feb,148198
LASST080000000000004,2003,M03,2003 Mar,151299
LASST080000000000004,2003,M04,2003 Apr,153910
LASST080000000000004,2003,M05,2003 May,155668
LASST080000000000004,2003,M06,2003 Jun,156493
LASST080000000000004,2003,M07,2003 Jul,156268
LASST080000000000004,2003,M08,2003 Aug,155070
LASST080000000000004,2003,M09,2003 Sep,153226
LASST080000000000004,2003,M10,2003 Oct,151330
LASST080000000000004,2003,M11,2003 Nov,149693
LASST080000000000004,2003,M12,2003 Dec,148278
LASST080000000000004,2004,M01,2004 Jan,146922
LASST080000000000004,2004,M02,2004 Feb,145494
LASST080000000000004,2004,M03,2004 Mar,144100
LASST080000000000004,2004,M04,2004 Apr,142699
LASST080000000000004,2004,M05,2004 May,141364
LASST080000000000004,2004,M06,2004 Jun,140252
LASST080000000000004,2004,M07,2004 Jul,139736
LASST080000000000004,2004,M08,2004 Aug,139666
LASST080000000000004,2004,M09,2004 Sep,139598
LASST080000000000004,2004,M10,2004 Oct,139337
LASST080000000000004,2004,M11,2004 Nov,138892
LASST080000000000004,2004,M12,2004 Dec,138532
LASST080000000000004,2005,M01,2005 Jan,138169
LASST080000000000004,2005,M02,2005 Feb,137566
LASST080000000000004,2005,M03,2005 Mar,136454
LASST080000000000004,2005,M04,2005 Apr,134857
LASST080000000000004,2005,M05,2005 May,132868
LASST080000000000004,2005,M06,2005 Jun,130697
LASST080000000000004,2005,M07,2005 Jul,128777
LASST080000000000004,2005,M08,2005 Aug,127435
LASST080000000000004,2005,M09,2005 Sep,126554
LASST080000000000004,2005,M10,2005 Oct,125403
LASST080000000000004,2005,M11,2005 Nov,123651
LASST080000000000004,2005,M12,2005 Dec,121322
LASST080000000000004,2006,M01,2006 Jan,118761
LASST080000000000004,2006,M02,2006 Feb,116523
LASST080000000000004,2006,M03,2006 Mar,115173
LASST080000000000004,2006,M04,2006 Apr,114905
LASST080000000000004,2006,M05,2006 May,115259
LASST080000000000004,2006,M06,2006 Jun,115589
LASST080000000000004,2006,M07,2006 Jul,115090
LASST080000000000004,2006,M08,2006 Aug,113518
LASST080000000000004,2006,M09,2006 Sep,111179
LASST080000000000004,2006,M10,2006 Oct,108275
LASST080000000000004,2006,M11,2006 Nov,104861
LASST080000000000004,2006,M12,2006 Dec,101095
LASST080000000000004,2007,M01,2007 Jan,97418
LASST080000000000004,2007,M02,2007 Feb,94322
LASST080000000000004,2007,M03,2007 Mar,92054
LASST080000000000004,2007,M04,2007 Apr,91030
LASST080000000000004,2007,M05,2007 May,91625
LASST080000000000004,2007,M06,2007 Jun,93755
LASST080000000000004,2007,M07,2007 Jul,97054
LASST080000000000004,2007,M08,2007 Aug,100979
LASST080000000000004,2007,M09,2007 Sep,104752
LASST080000000000004,2007,M10,2007 Oct,108001
LASST080000000000004,2007,M11,2007 Nov,110493
LASST080000000000004,2007,M12,2007 Dec,112209
LASST080000000000004,2008,M01,2008 Jan,113500
LASST080000000000004,2008,M02,2008 Feb,114883
LASST080000000000004,2008,M03,2008 Mar,116936
LASST080000000000004,2008,M04,2008 Apr,119809
LASST080000000000004,2008,M05,2008 May,123540
LASST080000000000004,2008,M06,2008 Jun,128010
LASST080000000000004,2008,M07,2008 Jul,132629
LASST080000000000004,2008,M08,2008 Aug,137154
LASST080000000000004,2008,M09,2008 Sep,142257
LASST080000000000004,2008,M10,2008 Oct,148746
LASST080000000000004,2008,M11,2008 Nov,157278
LASST080000000000004,2008,M12,2008 Dec,167894
LASST080000000000004,2009,M01,2009 Jan,179939
LASST080000000000004,2009,M02,2009 Feb,192359
LASST080000000000004,2009,M03,2009 Mar,203647
LASST080000000000004,2009,M04,2009 Apr,212494
LASST080000000000004,2009,M05,2009 May,218302
LASST080000000000004,2009,M06,2009 Jun,221102
LASST080000000000004,2009,M07,2009 Jul,221848
LASST080000000000004,2009,M08,2009 Aug,221927
LASST080000000000004,2009,M09,2009 Sep,222397
LASST080000000000004,2009,M10,2009 Oct,224292
LASST080000000000004,2009,M11,2009 Nov,228289
LASST080000000000004,2009,M12,2009 Dec,233830
LASST080000000000004,2010,M01,2010 Jan,239498
LASST080000000000004,2010,M02,2010 Feb,243728
LASST080000000000004,2010,M03,2010 Mar,245954
LASST080000000000004,2010,M04,2010 Apr,246407
LASST080000000000004,2010,M05,2010 May,245654
LASST080000000000004,2010,M06,2010 Jun,245090
LASST080000000000004,2010,M07,2010 Jul,246120
LASST080000000000004,2010,M08,2010 Aug,248724
LASST080000000000004,2010,M09,2010 Sep,251901
LASST080000000000004,2010,M10,2010 Oct,254159
LASST080000000000004,2010,M11,2010 Nov,253905
LASST080000000000004,2010,M12,2010 Dec,251318
LASST080000000000004,2011,M01,2011 Jan,247413
LASST080000000000004,2011,M02,2011 Feb,243038
LASST080000000000004,2011,M03,2011 Mar,239008
LASST080000000000004,2011,M04,2011 Apr,236233
LASST080000000000004,2011,M05,2011 May,235246
LASST080000000000004,2011,M06,2011 Jun,235510
LASST080000000000004,2011,M07,2011 Jul,236068
LASST080000000000004,2011,M08,2011 Aug,236375
LASST080000000000004,2011,M09,2011 Sep,236130
LASST080000000000004,2011,M10,2011 Oct,235261
LASST080000000000004,2011,M11,2011 Nov,233890
LASST080000000000004,2011,M12,2011 Dec,231893
LASST080000000000004,2012,M01,2012 Jan,229554
LASST080000000000004,2012,M02,2012 Feb,227825
LASST080000000000004,2012,M03,2012 Mar,226952
LASST080000000000004,2012,M04,2012 Apr,226447
LASST080000000000004,2012,M05,2012 May,225663
LASST080000000000004,2012,M06,2012 Jun,224053
LASST080000000000004,2012,M07,2012 Jul,221268
LASST080000000000004,2012,M08,2012 Aug,217659
LASST080000000000004,2012,M09,2012 Sep,213989
LASST080000000000004,2012,M10,2012 Oct,210575
LASST080000000000004,2012,M11,2012 Nov,207381
LASST080000000000004,2012,M12,2012 Dec,204180
LASST080000000000004,2013,M01,2013 Jan,200988
LASST080000000000004,2013,M02,2013 Feb,197932
LASST080000000000004,2013,M03,2013 Mar,195103
